Continent;Country;PlotID;Plot Code;PlotViewID;Plot Name;Plot View Name;PI;TreeID;Tag No;Sub Plot T1;Sub Plot T2;Standardised SubPlot T1;X;Y;Standardised X;Standardised Y;AllometricRegionID;Family;Genus;Species;Sub Species;Variety;Original Identification;Recommended Family;Recommended Species;Recommended Subspecies;Recommended Variety;FamilyAPGID;GenusID;SpeciesID;SubSpeciesID;Census No;Census Date;Voucher Code;Stem Group ID;Main Stem Tag;D0;D1;DPOMtMinus1;D2;D3;D4;POM0;POM;F1;F2;F3;F4;Extra D0;Extra D;Extra DPOMtMinus1;Extra D2;Extra D3;Extra D4;Extra POM0;Extra POM;Extra F3;Extra F4;CI;LI;CF;CD1;CD2;Height;F5;Height Broken At;Comments
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050172;570a;P1NW11;;;;;;;;Myrtaceae;Myrcia;Myrcia retorta;;;Myrcia retorta;Myrtaceae;Myrcia retorta;;;408;16891;423779;;2;2019.2315;;20914;570a;64;64;;64;64;64;1300;1300;ah;1;0;0;;;;;;;;;;;;;;1;2;6;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050026;86;P1SE4;;;;;;;;Fabaceae;Inga;Inga virescens;;;Inga virescens;Fabaceae;Inga virescens;;;423;11884;320532;;2;2019.2315;;;;102;102;;102;102;102;1300;1300;a;1;0;0;;;;;;;;;;;;;;5;3;12;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
